"time","half","year"
8,"First",1994
90,"Second",1994
15,"First",1994
74,"Second",1994
86,"Second",1994
85,"Second",1994
6,"First",1994
51,"Second",1994
88,"Second",1994
11,"First",1994
18,"First",1994
58,"Second",1994
16,"First",1994
75,"Second",1994
11,"First",1994
41,"First",1994
72,"Second",1994
25,"First",1994
88,"Second",1994
102,"Extra",1994
18,"First",1994
6,"First",1994
25,"First",1994
88,"Second",1994
58,"Second",1994
64,"Second",1994
76,"Second",1994
53,"Second",1994
63,"Second",1994
81,"Second",1994
75,"Second",1994
78,"Second",1994
47,"Second",1994
88,"Second",1994
101,"Extra",1994
78,"Second",1994
115,"Extra",1994
44,"First",1994
21,"First",1994
25,"First",1994
80,"Second",1994
8,"First",1994
30,"First",1994
37,"First",1994
40,"First",1994
18,"First",1998
11,"First",1998
27,"First",1998
46,"First",1998
70,"Second",1998
68,"Second",1998
114,"Extra",1998
78,"Second",1998
3,"First",1998
12,"First",1998
60,"Second",1998
76,"Second",1998
75,"Second",1998
86,"Second",1998
47,"Second",1998
38,"First",1998
92,"Second",1998
48,"Second",1998
47,"First",1998
6,"First",1998
46,"First",1998
10,"First",1998
16,"First",1998
11,"First",1998
27,"First",1998
60,"Second",1998
2,"First",1998
50,"Second",1998
12,"First",1998
90,"Second",1998
17,"First",1998
48,"First",1998
80,"Second",1998
85,"Second",1998
46,"Second",1998
87,"Second",1998
47,"Second",1998
69,"Second",1998
46,"Second",1998
21,"First",1998
13,"First",1998
35,"First",1998
27,"First",1998
46,"First",1998
93,"Second",1998
88,"Second",2002
5,"First",2002
22,"First",2002
44,"First",2002
11,"First",2002
37,"First",2002
104,"Extra",2002
8,"First",2002
90,"Second",2002
8,"First",2002
65,"Second",2002
67,"Second",2002
87,"Second",2002
12,"First",2002
88,"Second",2002
117,"Extra",2002
18,"First",2002
23,"First",2002
47,"First",2002
50,"Second",2002
39,"First",2002
94,"Extra",2002
75,"Second",2002
49,"Second",2002
9,"First",2002
93,"Second",2002
1,"First",2002
13,"First",2002
32,"First",2002
67,"Second",2002
79,"Second",2002
4,"First",2006
12,"First",2006
10,"First",2006
98,"Extra",2006
6,"First",2006
60,"Second",2006
23,"First",2006
95,"Second",2006
5,"First",2006
46,"First",2006
84,"Second",2006
28,"First",2006
41,"First",2006
83,"Second",2006
92,"Second",2006
80,"Second",2006
49,"Second",2006
6,"First",2006
59,"Second",2006
69,"Second",2006
57,"Second",2006
119,"Extra",2006
121,"Extra",2006
33,"First",2006
56,"Second",2006
78,"Second",2006
60,"Second",2006
88,"Second",2006
19,"First",2006
7,"First",2006
8,"First",2010
80,"Second",2010
68,"Second",2010
62,"Second",2010
5,"First",2010
93,"Extra",2010
20,"First",2010
32,"First",2010
67,"Second",2010
70,"Second",2010
37,"First",2010
26,"First",2010
52,"Second",2010
33,"First",2010
71,"Second",2010
18,"First",2010
84,"Second",2010
94,"Second",2010
34,"First",2010
38,"First",2010
59,"Second",2010
63,"Second",2010
53,"Second",2010
68,"Second",2010
10,"First",2010
55,"Second",2010
47,"First",2010
3,"First",2010
68,"Second",2010
89,"Second",2010
74,"Second",2010
83,"Second",2010
41,"First",2010
92,"Second",2010
18,"First",2010
70,"Second",2010
73,"Second",2010
73,"Second",2010
28,"First",2010
51,"Second",2010
19,"First",2010
56,"Second",2010
82,"Second",2010
116,"Extra",2010
18,"First",2014
32,"First",2014
28,"First",2014
50,"Second",2014
88,"Second",2014
94,"Second",2014
48,"Second",2014
52,"Second",2014
91,"Second",2014
79,"Second",2014
92,"Second",2014
92,"Extra",2014
120,"Extra",2014
121,"Extra",2014
118,"Extra",2014
93,"Extra",2014
105,"Extra",2014
107,"Extra",2014
13,"First",2014
7,"First",2014
69,"Second",2014
80,"Second",2014
8,"First",2014
90,"Second",2014
11,"First",2014
23,"First",2014
24,"First",2014
26,"First",2014
29,"First",2014
69,"Second",2014
79,"Second",2014
3,"First",2014
17,"First",2014
91,"Second",2014
113,"Extra",2014
12,"First",2018
43,"First",2018
91,"Second",2018
71,"Second",2018
94,"Second",2018
89,"Second",2018
47,"Second",2018
59,"Second",2018
