"times","which.cup"
"6'",2006
"60'",2006
"23'",2006
"90+5' (pen.)",2006
"5'",2006
"45+1'",2006
"84'",2006
"28' (pen.)",2006
"41'",2006
"83'",2006
"90+2'",2006
"80'",2006
"49'",2006
"6'",2006
"59'",2006
"69'",2006
"57'",2006
"119'",2006
"120+1'",2006
"33' (pen.)",2006
"56'",2006
"78'",2006
"60' (o.g.)",2006
"88'",2006
"19'",2006
"7' (pen.)",2006
"8'",2010
"80'",2010
"68'",2010
"62' (pen.)",2010
"5'",2010
"93'",2010
"20'",2010
"32'",2010
"67'",2010
"70'",2010
"37'",2010
"26'",2010
"52'",2010
"33'",2010
"71'",2010
"18'",2010
"84'",2010
"90+4' (pen.)",2010
"34'",2010
"38'",2010
"59'",2010
"63'",2010
"53'",2010
"68'",2010
"10'",2010
"55'",2010
"45+2'",2010
"3'",2010
"68'",2010
"89'",2010
"74'",2010
"83'",2010
"41'",2010
"90+2'",2010
"18'",2010
"70'",2010
"73'",2010
"73'",2010
"28'",2010
"51'",2010
"19'",2010
"56'",2010
"82'",2010
"116'",2010
"18'",2014
"32'",2014
"28'",2014
"50'",2014
"88'",2014
"90+4' (pen.)",2014
"48'",2014
"52'",2014
"90+1'",2014
"79'",2014
"90+2' (o.g.)",2014
"92'",2014
"120'",2014
"120+1'",2014
"118'",2014
"93'",2014
"105'",2014
"107'",2014
"13'",2014
"7'",2014
"69'",2014
"80' (pen.)",2014
"8'",2014
"90'",2014
"11'",2014
"23'",2014
"24'",2014
"26'",2014
"29'",2014
"69'",2014
"79'",2014
"3' (pen.)",2014
"17'",2014
"90+1'",2014
"113'",2014
"12'",1970
"54'",1970
"76' (pen.)",1970
"14'",1970
"63'",1970
"57'",1970
"76'",1970
"86'",1970
"45'",1970
"46'",1970
"58'",1970
"83'",1970
"51'",1970
"74'",1970
"14' (pen.)",1970
"23'",1970
"50'",1970
"10'",1970
"53'",1970
"56'",1970
"90'",1970
"65'",1970
"24'",1970
"59'",1970
"61'",1970
"83'",1970
"11'",1970
"52'",1970
"75' (pen.)",1970
"5'",1970
"59'",1970
"19'",1970
"67'",1970
"22'",1970
"34'",1970
"84'",1970
"50' (pen.)",1970
"50'",1970
"55'",1970
"73'",1970
